feat_name,omics,imp
SOX11|6664,0,61.128390908007034
hsa-mir-187,2,40.772645322707405
HPDL|84842,0,36.72134988226139
CNGA1|1259,0,36.01397175448928
C14orf72,1,33.00373675721168
KIF2C|11004,0,32.69379834387931
OR1J4,1,32.67711819590213
TM4SF18,1,32.670177894716936
AR|367,0,31.795653371700872
hsa-mir-9-1,2,31.511852238894754
hsa-mir-9-2,2,31.226755228507127
CAPN13|92291,0,31.051954334909816
hsa-mir-203,2,30.918143133600722
CDC6|990,0,30.244503171604322
hsa-mir-21,2,30.056169586738182
LEMD1,1,29.02216379159295
ROPN1,1,28.259517963276302
ATP8B1,1,28.259517963276302
C21orf82,1,28.240519236406247
KIF14|9928,0,28.07154605378914
hsa-mir-184,2,27.729313984530673
hsa-mir-944,2,27.681180797382066
GPR37L1,1,27.55463980390394
PTCHD1|139411,0,26.519017415648882
C1orf64|149563,0,26.422413548641387
KDM2B,1,26.315779037463628
ATP10B,1,26.29346421697054
hsa-mir-551b,2,25.76081435232919
PHYHD1|254295,0,25.757810370704128
LGALS2,1,25.439489095944733
